
Akela
adult brotherhood members       ,338                  ,354                       ,358        ,320        ,207   ,170        ,168   ,198
adult vigil members             ,95                   ,123                       ,153        ,132        ,130   ,113        ,103   ,113
all youth members               ,914                  ,945                       ,832        ,644        ,487   ,507        ,413   ,467
all ya members                  ,199                  ,187                       ,226        ,189        ,146   ,113        ,101   ,104
all adult members               ,722                  ,751                       ,804        ,731        ,531   ,460        ,427   ,503
all ordeal members              ,1083                 ,1054                      ,1022       ,845        ,666   ,615        ,510   ,592
all brotherhood members         ,641                  ,684                       ,666        ,563        ,345   ,332        ,312   ,357
all vigil members               ,111                  ,145                       ,174        ,156        ,153   ,133        ,119   ,125
all lodge members               ,1835                 ,1883                      ,1862       ,1564       ,1164  ,1080       ,941   ,1074

Nischa
years                           ,2019                 ,2020                      ,2021       ,2022       ,2023
election rate                   ,81%                  ,67%                       ,75%        ,82%        ,82%
induction rate                  ,68%                  ,38%                       ,72%        ,78%        ,93%
activation rate                 ,44%                  ,90%                       ,52%        ,43%        ,55%
membership retention            ,52%                  ,48%                       ,84%        ,57%        ,48%
membership growth               ,12                   ,-25                       ,15         ,-5         ,-13
event participation             ,30%                  ,35%                       ,31%        ,32%        ,33%
brotherhood conversion          ,90%                  ,0%                        ,64%        ,94%        ,91%
donations per memeber           ,3.00                 ,5.05                      ,3.17       ,3.71       ,25.28
servicer per member             ,7.27                 ,5.89                      ,11.09      ,7.49       ,13.12
training rate                   ,12%                  ,9%                        ,45%        ,38%        ,40%
youth ordeal members            ,48                   ,37                        ,31         ,28         ,23
youth brotherhood members       ,28                   ,16                        ,31         ,34         ,24
youth vigil members             ,2                    ,1                         ,1          ,0          ,1
young-adult ordeal members      ,2                    ,3                         ,5          ,1          ,2
young adult brotherhood members ,4                    ,2                         ,4          ,4          ,5
young adult vigil members       ,2                    ,2                         ,4          ,4          ,3
adult ordeal members            ,18                   ,14                        ,18         ,7          ,11
adult brotherhood members       ,26                   ,17                        ,34         ,29         ,29
adult vigil members             ,37                   ,29                        ,30         ,28         ,27
all youth members               ,78                   ,54                        ,63         ,62         ,48
all ya members                  ,8                    ,7                         ,13         ,9          ,10
all adult members               ,81                   ,60                        ,82         ,64         ,67
all ordeal members              ,68                   ,54                        ,54         ,36         ,36
all brotherhood members         ,58                   ,35                        ,69         ,67         ,58
all vigil members               ,41                   ,32                        ,35         ,32         ,31
all lodge members               ,167                  ,121                       ,158        ,135        ,125

Penateka
years                           ,2019                 ,                          ,           ,           ,2023
election rate                   ,52%                  ,                          ,           ,           ,83%
induction rate                  ,79%                  ,                          ,           ,           ,30%
activation rate                 ,34%                  ,                          ,           ,           ,60%
membership retention            ,51%                  ,                          ,           ,           ,65%
membership growth               ,-3                   ,                          ,           ,           ,-15
event participation             ,23%                  ,                          ,           ,           ,16%
brotherhood conversion          ,55%                  ,                          ,           ,           ,25%
donations per memeber           ,14.81                ,                          ,           ,           ,59.53
servicer per member             ,13.35                ,                          ,           ,           ,15.35
training rate                   ,0%                   ,                          ,           ,           ,6%
youth ordeal members            ,34                   ,                          ,           ,           ,30
youth brotherhood members       ,23                   ,                          ,           ,           ,16
youth vigil members             ,1                    ,                          ,           ,           ,2
young-adult ordeal members      ,1                    ,                          ,           ,           ,1
young adult brotherhood members ,4                    ,                          ,           ,           ,2
young adult vigil members       ,1                    ,                          ,           ,           ,5
adult ordeal members            ,23                   ,                          ,           ,           ,19
adult brotherhood members       ,36                   ,                          ,           ,           ,25
adult vigil members             ,29                   ,                          ,           ,           ,26
all youth members               ,58                   ,58                        ,58         ,58         ,48
all ya members                  ,6                    ,6                         ,6          ,6          ,8
all adult members               ,88                   ,88                        ,88         ,88         ,70
all ordeal members              ,58                   ,58                        ,58         ,58         ,50
all brotherhood members         ,63                   ,63                        ,63         ,63         ,43
all vigil members               ,31                   ,31                        ,31         ,31         ,33
all lodge members               ,152                  ,152                       ,152        ,152        ,126

Tejas
years                           ,2019                 ,2020                      ,2021       ,2022       ,2023
election rate                   ,93%                  ,33%                       ,81%        ,67%        ,44%
induction rate                  ,77%                  ,40%                       ,80%        ,44%        ,47%
activation rate                 ,21%                  ,100%                      ,100%       ,35%        ,23%
membership retention            ,64%                  ,52%                       ,54%        ,71%        ,57%
membership growth               ,9                    ,-51                       ,-17        ,-1         ,6
event participation             ,18%                  ,18%                       ,19%        ,17%        ,14%
brotherhood conversion          ,8%                   ,21%                       ,32%        ,17%        ,37%
donations per memeber           ,70.43                ,8.92                      ,25.14      ,32.09      ,21.06
servicer per member             ,26.37                ,2.96                      ,3.09       ,4.81       ,7.57
training rate                   ,8%                   ,18%                       ,17%        ,18%        ,18%
youth ordeal members            ,119                  ,82                        ,64         ,65         ,63
youth brotherhood members       ,18                   ,16                        ,22         ,22         ,24
youth vigil members             ,1                    ,1                         ,0          ,0          ,6
young-adult ordeal members      ,14                   ,6                         ,5          ,5          ,9
young adult brotherhood members ,7                    ,5                         ,7          ,5          ,3
young adult vigil members       ,10                   ,8                         ,3          ,3          ,1
adult ordeal members            ,38                   ,25                        ,19         ,23         ,17
adult brotherhood members       ,35                   ,29                        ,28         ,32         ,33
adult vigil members             ,42                   ,30                        ,31         ,32         ,34
all youth members               ,138                  ,99                        ,86         ,87         ,93
all ya members                  ,31                   ,19                        ,15         ,13         ,13
all adult members               ,115                  ,84                        ,78         ,87         ,84
all ordeal members              ,171                  ,113                       ,88         ,93         ,89
all brotherhood members         ,60                   ,50                        ,57         ,59         ,60
all vigil members               ,53                   ,39                        ,34         ,35         ,41
all lodge members               ,284                  ,202                       ,179        ,187        ,190

Wichita
years                           ,2019                 ,2020                      ,2021       ,2022       ,2023
election rate                   ,100%                 ,95%                       ,100%       ,100%       ,94%
induction rate                  ,89%                  ,92%                       ,80%        ,91%        ,87%
activation rate                 ,34%                  ,5%                        ,63%        ,50%        ,47%
membership retention            ,70%                  ,70%                       ,94%        ,58%        ,61%
membership growth               ,8                    ,-4                        ,11         ,-17        ,-15
event participation             ,28%                  ,21%                       ,27%        ,23%        ,31%
brotherhood conversion          ,73%                  ,53%                       ,93%        ,217%       ,100%
donations per memeber           ,37.09                ,20.72                     ,141.94     ,7.47       ,13.28
servicer per member             ,7.41                 ,5.30                      ,12.20      ,4.93       ,6.41
training rate                   ,3%                   ,11%                       ,0%         ,0%         ,0%
youth ordeal members            ,34                   ,30                        ,14         ,12         ,11
youth brotherhood members       ,35                   ,34                        ,48         ,38         ,29
youth vigil members             ,0                    ,1                         ,1          ,0          ,2
young-adult ordeal members      ,5                    ,1                         ,4          ,1          ,2
young adult brotherhood members ,5                    ,9                         ,17         ,16         ,10
young adult vigil members       ,2                    ,2                         ,4          ,4          ,2
adult ordeal members            ,15                   ,15                        ,9          ,6          ,7
adult brotherhood members       ,26                   ,23                        ,28         ,30         ,23
adult vigil members             ,32                   ,25                        ,30         ,27         ,27
all youth members               ,69                   ,65                        ,63         ,50         ,42
all ya members                  ,12                   ,12                        ,25         ,21         ,14
all adult members               ,73                   ,63                        ,67         ,63         ,57
all ordeal members              ,54                   ,46                        ,27         ,19         ,20
all brotherhood members         ,66                   ,66                        ,93         ,84         ,62
all vigil members               ,34                   ,28                        ,35         ,31         ,31
all lodge members               ,154                  ,140                       ,155        ,134        ,113
